Raw-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,450mm,Frame,,,,,Battery,,,,,Porp,,,,,ESC,,,,Compute,,,,Weight,,,Motor Selection,,,,,,Power,,,,,,compute,,,, Flighttime (min) @ 85% charge,,,,,,,,,,,,
,Drone,Frame,w-Frame weight,Wheelbase,w-RC reciever,w-Battery,cell-battery,voltage,capacity battery,discharche,max A,w-prop,w-tele,w-misc,w-gps,w-ppm,w-esc,esc-A,w-motor,TWR,Compute,w-Compute ,compue pow,,w-total,thrust-needed,per-m-thrust,prop,prop-r,kv,max-thrust,max-draw,final-thurst,Avg 30% load,Avg 50% load,Avg 70% load,Avg 100%load,hover,Increase,%compute 30%,%compute 50%,%compute 70%,%compute 100%,0.3,0.5,0.7,1,,,Compute Min,Compute Max,0.3,,0.7,,weight
,,Crazepony F452,272,450,15,1087.85,6,22.2,8000,52,416,40,15,20,15,9,112,30,260,2,navio+rpi,73,7,,1918.85,3837.7,959.425,10,12.7,935,833,16,3332,676.662597,960.822597,1244.982597,1671.222597,561.3278529,328.6205059,1.03448898,0.728542399,0.562256855,0.418855035,18.07068996,12.72634515,9.821631266,7.316655497,,,3,20,0.44335242,2.955682801,0.19000818,1.2667212,1918.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drone,Frame,w-Frame weight,Wheelbase,w-RC reciever,w-Battery,cell-battery,voltage,capacity battery,discharche,max A,w-prop,w-tele,w-misc,w-gps,w-ppm,w-esc,esc-A,w-motor,TWR,Compute,w-Compute ,compue pow,,w-total,thrust-needed,per-m-thrust,prop,prop-r,kv,max-thrust,max-draw,final-thurst,Avg 30% load,Avg 50% load,Avg 70% load,Avg 100%load,hover,Increase,%compute 30%,%compute 50%,%compute 70%,%compute 100%,0.3,0.5,0.7,1,,,Compute Min,Compute Max,0.3,,0.7,,weight
,Our 1s,,60,100,15,23.85,1,3.7,1000,50,50,10,15,10,10,9,80,20,120,2,navio+rpi,20,4,,372.85,745.7,186.425,2,2.54,935,670,55,2680,62.05,411,573.8,818,240.3954691,0,6.446414182,0.97323601,0.697107006,0.488997555,3.04109589,0.459124088,0.32886023,0.230684597,Our 1s,,3,20,4.834810637,32.23207091,2.072061701,13.81374468,372.85
,,,60,100,15,42.85,1,3.7,2000,50,100,10,15,10,10,9,80,20,120,2,navio+rpi,20,4,,391.85,783.7,195.925,2,2.54,935,670,60,2680,72.25188854,466.6075542,644.2075542,910.6075542,259.0030233,18.60755415,5.53618747,0.857251445,0.620917897,0.439267166,5.223392878,0.808816738,0.585836036,0.414448571,,,3,20,4.152140602,27.68093735,1.77948883,11.86325886,391.85
,,,60,100,15,61.85,1,3.7,3000,50,150,10,15,10,10,9,80,20,120,2,navio+rpi,20,4,,410.85,821.7,205.425,2,2.54,935,670,70,2680,88.11796954,559.6718782,766.8718782,1077.671878,278.0673473,37.67187818,4.539369235,0.714704482,0.521599515,0.371170491,6.42434231,1.011485519,0.738193714,0.525299037,,,3,20,3.404526926,22.69684617,1.459082968,9.727219789,410.85
,,,60,100,15,80.85,1,3.7,4000,50,200,10,15,10,10,9,80,20,160,2,navio+rpi,20,4,,469.85,939.7,234.925,2,2.54,935,833,80,3332,114.7177679,695.6710716,932.4710716,1287.671072,340.0665408,99.67107162,3.486818191,0.57498438,0.428967731,0.310638337,6.579625927,1.084995526,0.809462109,0.586174541,,,3,20,2.615113644,17.43409096,1.12076299,7.471753267,469.85
,,,60,100,15,99.85,1,3.7,5000,50,250,10,15,10,10,9,80,20,160,2,navio+rpi,20,4,,488.85,977.7,244.425,2,2.54,935,833,90,3332,131.026466,790.5058639,1056.905864,1456.505864,360.901333,120.5058639,3.052818353,0.506005102,0.378463223,0.274629859,7.200835289,1.193539533,0.892700128,0.64778318,,,3,20,2.289613764,15.26409176,0.981263042,6.541753613,488.85
,,,60,100,15,118.85,1,3.7,6000,50,300,10,15,10,10,9,80,20,160,2,navio+rpi,20,4,,507.85,1015.7,253.925,2,2.54,935,833,100,3332,147.437396,885.749584,1181.749584,1625.749584,382.1450532,141.749584,2.713015902,0.451594906,0.338481185,0.246040352,7.679191512,1.278239381,0.958070995,0.696417216,,,3,20,2.034761927,13.56507951,0.872040826,5.813605505,507.85
,,,60,100,15,137.85,1,3.7,7000,50,350,10,15,10,10,9,80,20,180,2,navio+rpi,20,4,,546.85,1093.7,273.425,2,2.54,935,833,120,3332,180.8510114,1078.604046,1433.804046,1966.604046,426.9995148,186.6040457,2.211765347,0.370849712,0.27897815,0.203396307,7.303802116,1.224638462,0.921255596,0.671665454,,,3,20,1.65882401,11.05882673,0.710924576,4.739497172,546.85
,,,60,100,15,156.85,1,3.7,8000,50,400,10,15,10,10,9,80,20,180,2,navio+rpi,20,4,,565.85,1131.7,282.925,2,2.54,935,833,140,3332,208.6625079,1249.050032,1663.450032,2285.050032,449.4455008,209.0500316,1.916971113,0.320243377,0.240464091,0.175050872,7.23464898,1.208598504,0.90751148,0.66064199,,,3,20,1.437728335,9.584855564,0.616169286,4.107795242,565.85
