Wheelbase,Prop,Weight,V,MinW,minKV,A,,,
450,10,300,14.8,25,1330,1.689189189,,,
450,10,400,14.8,35,1540,2.364864865,,,
450,10,500,14.8,45,1720,3.040540541,,,
450,10,600,14.8,60,1890,4.054054054,,,
450,10,700,14.8,75,2040,5.067567568,,,
450,10,800,14.8,90,2180,6.081081081,,,
450,10,900,14.8,110,2310,7.432432432,,,
450,10,1000,14.8,125,2440,8.445945946,,,
450,10,1100,14.8,145,2550,9.797297297,,,
450,10,1200,14.8,165,2670,11.14864865,,,
450,10,1300,14.8,185,2780,12.5,,,
450,10,1400,14.8,205,2880,13.85135135,,,
450,10,1500,14.8,230,2980,15.54054054,,,
450,10,1600,14.8,255,3080,17.22972973,,,
450,10,1700,14.8,275,3180,18.58108108,,,
450,10,1800,14.8,300,3270,20.27027027,,,
450,10,100,18.5,5,770,0.310810811,,,
450,10,200,18.5,15,1090,0.932432432,,,
450,10,300,18.5,25,1330,1.554054054,,,
450,10,400,18.5,35,1540,2.175675676,,,
450,10,500,18.5,45,1720,2.797297297,,,
450,10,600,18.5,60,1890,3.72972973,,,
450,10,700,18.5,75,2040,4.662162162,,,
450,10,800,18.5,90,2180,5.594594595,,,
450,10,900,18.5,110,2310,6.837837838,,,
450,10,1000,18.5,125,2440,7.77027027,,,
450,10,1100,18.5,145,2550,9.013513514,,,
450,10,1200,18.5,165,2670,10.25675676,,,
450,10,1300,18.5,185,2780,11.5,,,
450,10,1400,18.5,205,2880,12.74324324,,,
450,10,1500,18.5,230,2980,14.2972973,,,
450,10,1600,18.5,255,3080,15.85135135,,,
450,10,1700,18.5,275,3180,17.09459459,,,
450,10,1800,18.5,300,3270,18.64864865,,,
450,10,100,22.2,5,770,0.27027027,,,
450,10,200,22.2,15,1090,0.810810811,,,
450,10,300,22.2,25,1330,1.351351351,,,
450,10,400,22.2,35,1540,1.891891892,,,
450,10,500,22.2,45,1720,2.432432432,,,
450,10,600,22.2,60,1890,3.243243243,,,
450,10,700,22.2,75,2040,4.054054054,,,
450,10,800,22.2,90,2180,4.864864865,,,
450,10,900,22.2,110,2310,5.945945946,,,
450,10,1000,22.2,125,2440,6.756756757,,,
450,10,1100,22.2,145,2550,7.837837838,,,
450,10,1200,22.2,165,2670,8.918918919,,,
450,10,1300,22.2,185,2780,10,,,
450,10,1400,22.2,205,2880,11.08108108,,,
450,10,1500,22.2,230,2980,12.43243243,,,
450,10,1600,22.2,255,3080,13.78378378,,,
450,10,1700,22.2,275,3180,14.86486486,,,
450,10,1800,22.2,300,3270,16.21621622,,,
800,20,100,3.7,5,240,1.351351351,,,
800,20,200,3.7,10,340,2.702702703,,,
800,20,300,3.7,15,420,4.054054054,,,
800,20,400,3.7,20,480,5.405405405,,,
800,20,500,3.7,25,540,6.756756757,,,
800,20,600,3.7,30,590,8.108108108,,,
800,20,700,3.7,40,640,10.81081081,,,
800,20,800,3.7,45,680,12.16216216,,,
800,20,900,3.7,55,720,14.86486486,,,
800,20,1000,3.7,65,760,17.56756757,,,
800,20,1100,3.7,75,800,20.27027027,,,
800,20,1200,3.7,85,840,22.97297297,,,
800,20,1300,3.7,95,870,25.67567568,,,
800,20,1400,3.7,105,900,28.37837838,,,
800,20,1500,3.7,115,940,31.08108108,,,
800,20,1600,3.7,130,970,35.13513514,,,
800,20,1700,3.7,140,1000,37.83783784,,,
800,20,1800,3.7,150,1030,40.54054054,,,
800,20,1900,3.7,165,1050,44.59459459,,,
800,20,2000,3.7,175,1080,47.2972973,,,
800,20,2100,3.7,190,1110,51.35135135,,,
800,20,2200,3.7,205,1140,55.40540541,,,
800,20,2300,3.7,220,1160,59.45945946,,,
800,20,2400,3.7,230,1190,62.16216216,,,
800,20,2500,3.7,245,1210,66.21621622,,,
800,20,2600,3.7,260,1230,70.27027027,,,
800,20,2700,3.7,275,1260,74.32432432,,,
800,20,2800,3.7,290,1280,78.37837838,,,
800,20,100,7.4,5,240,0.675675676,,,
800,20,200,7.4,10,340,1.351351351,,,
800,20,300,7.4,15,420,2.027027027,,,
800,20,400,7.4,20,480,2.702702703,,,
800,20,500,7.4,25,540,3.378378378,,,
800,20,600,7.4,30,590,4.054054054,,,
800,20,700,7.4,40,640,5.405405405,,,
800,20,800,7.4,45,680,6.081081081,,,
800,20,900,7.4,55,720,7.432432432,,,
800,20,1000,7.4,65,760,8.783783784,,,
800,20,1100,7.4,75,800,10.13513514,,,
800,20,1200,7.4,85,840,11.48648649,,,
800,20,1300,7.4,95,870,12.83783784,,,
800,20,1400,7.4,105,900,14.18918919,,,
800,20,1500,7.4,115,940,15.54054054,,,
800,20,1600,7.4,130,970,17.56756757,,,
800,20,1700,7.4,140,1000,18.91891892,,,
800,20,1800,7.4,150,1030,20.27027027,,,
800,20,1900,7.4,165,1050,22.2972973,,,
800,20,2000,7.4,175,1080,23.64864865,,,
800,20,2100,7.4,190,1110,25.67567568,,,
800,20,2200,7.4,205,1140,27.7027027,,,
800,20,2300,7.4,220,1160,29.72972973,,,
800,20,2400,7.4,230,1190,31.08108108,,,
800,20,2500,7.4,245,1210,33.10810811,,,
800,20,2600,7.4,260,1230,35.13513514,,,
800,20,2700,7.4,275,1260,37.16216216,,,
800,20,2800,7.4,290,1280,39.18918919,,,
800,20,100,11.1,5,240,0.45045045,,,
800,20,200,11.1,10,340,0.900900901,,,
800,20,300,11.1,15,420,1.351351351,,,
800,20,400,11.1,20,480,1.801801802,,,
800,20,500,11.1,25,540,2.252252252,,,
800,20,600,11.1,30,590,2.702702703,,,
800,20,700,11.1,40,640,3.603603604,,,
800,20,800,11.1,45,680,4.054054054,,,
800,20,900,11.1,55,720,4.954954955,,,
800,20,1000,11.1,65,760,5.855855856,,,
800,20,1100,11.1,75,800,6.756756757,,,
800,20,1200,11.1,85,840,7.657657658,,,
800,20,1300,11.1,95,870,8.558558559,,,
800,20,1400,11.1,105,900,9.459459459,,,
800,20,1500,11.1,115,940,10.36036036,,,
800,20,1600,11.1,130,970,11.71171171,,,
800,20,1700,11.1,140,1000,12.61261261,,,
800,20,1800,11.1,150,1030,13.51351351,,,
800,20,1900,11.1,165,1050,14.86486486,,,
800,20,2000,11.1,175,1080,15.76576577,,,
800,20,2100,11.1,190,1110,17.11711712,,,
800,20,2200,11.1,205,1140,18.46846847,,,
800,20,2300,11.1,220,1160,19.81981982,,,
800,20,2400,11.1,230,1190,20.72072072,,,
800,20,2500,11.1,245,1210,22.07207207,,,
800,20,2600,11.1,260,1230,23.42342342,,,
800,20,2700,11.1,275,1260,24.77477477,,,
800,20,2800,11.1,290,1280,26.12612613,,,
800,20,100,14.8,5,240,0.337837838,,,
800,20,200,14.8,10,340,0.675675676,,,
800,20,300,14.8,15,420,1.013513514,,,
800,20,400,14.8,20,480,1.351351351,,,
800,20,500,14.8,25,540,1.689189189,,,
800,20,600,14.8,30,590,2.027027027,,,
800,20,700,14.8,40,640,2.702702703,,,
800,20,800,14.8,45,680,3.040540541,,,
800,20,900,14.8,55,720,3.716216216,,,
800,20,1000,14.8,65,760,4.391891892,,,
